lambda[nm]	Hb[cm-1/uM]	HbO2[cm-1/uM]	Lip[cm-1/mg]	H2O_37°[cm-1/mg]	Collagene_dens_1g/cm3[cm-1/mg]	Bkg[cm-1]
947	0.001453275	0.002782714	0.00004368	0.00027783	0.000175495	1
948	0.0014314	0.0027797	0.00004004	0.000291899	0.000178318	1
949	0.001408826	0.002775185	0.00003731	0.00030705	0.000180612	1
950	0.0013867	0.0027723	0.00003458	0.000322707	0.000181913	1
951	0.001363654	0.002767803	0.00003185	0.000339378	0.000180983	1
952	0.0013433	0.0027649	0.00003003	0.000356716	0.000179092	1
953	0.001325463	0.002760522	0.0000273	0.000374193	0.000176727	1
954	0.00131	0.0027576	0.00002639	0.000391785	0.000174459	1
955	0.001293222	0.002752833	0.00002457	0.000408709	0.000172837	1
956	0.0012767	0.0027493	0.00002275	0.000424551	0.000173024	1
957	0.00125971	0.002743973	0.00002184	0.000439011	0.000174266	1
958	0.0012435	0.0027401	0.00002002	0.000452251	0.000176364	1
959	0.001226473	0.002734718	0.00001911	0.000463833	0.000178995	1
960	0.0012101	0.0027309	0.0000182	0.000473458	0.000181776	1
961	0.001193027	0.002725512	0.0000182	0.000481655	0.000183695	1
962	0.0011769	0.0027217	0.00001729	0.00048801	0.000185337	1
963	0.0011599	0.002716383	0.00001729	0.000492684	0.000186721	1
964	0.0011406	0.0027124	0.00001638	0.00049646	0.000187927	1
965	0.001115941	0.002706434	0.00001638	0.000499362	0.000189071	1
966	0.0010899	0.0027014	0.00001547	0.000501733	0.000190519	1
967	0.001064351	0.002694304	0.00001456	0.000503276	0.000192043	1
968	0.0010392	0.0026885	0.00001456	0.000504565	0.000193642	1
969	0.001012203	0.002681272	0.00001456	0.000505371	0.000195299	1
970	0.00098855	0.0026756	0.00001365	0.000505855	0.00019699	1
971	0.000970392	0.002668357	0.00001365	0.000506108	0.000198415	1
972	0.00095622	0.0026627	0.00001365	0.000506385	0.000199956	1
973	0.000941188	0.00265565	0.00001365	0.000506016	0.000201705	1
974	0.00092628	0.0026498	0.00001274	0.000505625	0.000203736	1
975	0.000911208	0.002641726	0.00001274	0.000504865	0.000206082	1
976	0.00089637	0.0026342	0.00001274	0.000503414	0.000208873	1
977	0.000880036	0.002624373	0.00001274	0.000501871	0.000211845	1
978	0.00086334	0.0026157	0.00001274	0.000499983	0.00021485	1
979	0.000845601	0.002605722	0.00001274	0.000497566	0.000217729	1
